publishedAtDate,title,stars
2021-12-10 22:15:49.774,Instituto de Ciencias,5
2021-11-14 21:57:09.959,Instituto de Ciencias,3
2021-10-11 01:12:03.128,Instituto de Ciencias,5
2021-09-09 07:37:17.809,Instituto de Ciencias,5
2021-06-18 13:37:58.562,Instituto de Ciencias,5
2021-06-07 01:38:59.155,Instituto de Ciencias,5
2021-05-22 21:50:37.005,Instituto de Ciencias,5
2021-05-04 22:54:08.415,Instituto de Ciencias,5
2021-04-02 22:07:14.427,Instituto de Ciencias,5
2021-01-12 16:52:24.989,Instituto de Ciencias,5
2020-12-21 16:46:32.160,Instituto de Ciencias,5
2019-11-14 00:47:48.310,COLEGIO SUBIRE,5
2019-11-05 00:49:45.963,COLEGIO SUBIRE,3
2019-10-01 04:09:52.692,COLEGIO SUBIRE,5
2019-09-24 13:30:27.230,COLEGIO SUBIRE,1
2019-08-18 19:57:49.175,COLEGIO SUBIRE,5
2019-08-14 22:17:16.746,COLEGIO SUBIRE,5
2019-07-27 09:33:58.041,COLEGIO SUBIRE,4
2019-06-17 21:25:50.122,COLEGIO SUBIRE,5
2018-11-05 14:23:42.234,COLEGIO SUBIRE,2
2018-10-03 18:35:31.005,COLEGIO SUBIRE,1
2018-06-11 19:44:48.884,COLEGIO SUBIRE,1
2018-04-23 00:06:18.465,COLEGIO SUBIRE,5
2018-04-19 22:44:36.139,COLEGIO SUBIRE,5
2018-02-02 03:58:51.274,COLEGIO SUBIRE,5
2018-01-10 21:39:04.385,COLEGIO SUBIRE,5
2017-10-11 13:14:38.416,COLEGIO SUBIRE,4
2017-10-06 00:54:03.319,COLEGIO SUBIRE,5
2017-09-02 14:47:12.505,COLEGIO SUBIRE,5
2017-02-17 02:46:32.511,COLEGIO SUBIRE,1
2017-01-03 19:59:38.685,COLEGIO SUBIRE,1
2020-12-17 14:37:57.801,Instituto de Ciencias,4
2020-12-03 18:39:23.406,Instituto de Ciencias,5
2020-09-20 22:24:08.698,Instituto de Ciencias,1
2020-09-01 01:18:31.217,Instituto de Ciencias,5
2020-06-23 23:29:48.287,Instituto de Ciencias,5
2020-06-12 03:46:14.310,Instituto de Ciencias,5
2020-03-19 23:33:34.014,Instituto de Ciencias,5
2020-03-15 01:28:10.400,Instituto de Ciencias,5
2020-02-24 23:09:39.809,Instituto de Ciencias,5
2020-02-09 23:00:07.330,Instituto de Ciencias,5
2020-02-06 03:07:59.691,Instituto de Ciencias,5
2019-12-20 19:45:03.764,Instituto de Ciencias,5
2019-12-05 11:21:07.127,Instituto de Ciencias,5
2019-11-21 22:04:20.110,Instituto de Ciencias,5
2019-10-11 12:53:54.391,Instituto de Ciencias,5
2019-10-03 03:49:21.621,Instituto de Ciencias,5
2019-09-29 20:50:45.719,Instituto de Ciencias,4
2019-08-26 23:55:54.006,Instituto de Ciencias,5
2019-08-08 03:52:12.182,Instituto de Ciencias,5
2019-06-14 12:10:22.542,Instituto de Ciencias,5
2016-08-15 22:52:57.922,COLEGIO SUBIRE,5
2016-07-18 18:49:00.938,COLEGIO SUBIRE,5
2016-06-04 04:59:08.229,COLEGIO SUBIRE,5
2016-05-15 19:00:09.596,COLEGIO SUBIRE,5
2016-04-12 21:25:52.298,COLEGIO SUBIRE,1
2016-03-26 00:02:36.657,COLEGIO SUBIRE,1
2016-02-20 07:39:48.362,COLEGIO SUBIRE,4
2016-01-16 14:41:57.916,COLEGIO SUBIRE,5
2015-12-17 22:59:00.356,COLEGIO SUBIRE,5
2015-11-17 15:22:38.195,COLEGIO SUBIRE,5
2015-03-11 23:05:03.741,COLEGIO SUBIRE,1
2019-05-31 21:48:54.375,Instituto de Ciencias,5
2019-05-22 13:15:36.524,Instituto de Ciencias,5
2019-03-22 03:52:11.635,Instituto de Ciencias,5
2019-02-26 20:06:21.652,Instituto de Ciencias,1
2019-02-26 12:12:15.310,Instituto de Ciencias,5
